Date,Open Price,High Price,Low Price,Close Price,Deliverable Volume
2022-01-07,3820.0,3864.9,3796.4,3853.5,1501620
2022-01-10,3978.0,3978.0,3861.0,3879.85,1687823
2022-01-11,3856.0,3925.0,3856.0,3915.9,1054450
2022-01-12,3925.0,3929.0,3836.55,3859.9,1866561
2022-01-13,3918.0,3923.0,3857.0,3897.9,3737081
2022-01-14,3877.85,3977.0,3860.05,3968.15,1768475
2022-01-17,3992.7,4043.0,3962.3,4019.15,1699919
2022-01-18,4033.95,4041.7,3980.0,3990.6,1635845
2022-01-19,4012.0,4012.0,3910.5,3914.65,2121306
2022-01-20,3910.0,3920.0,3811.0,3826.55,4962139
2022-01-21,3807.0,3851.55,3771.1,3833.5,1795708
2022-01-24,3840.0,3849.65,3740.1,3771.35,2095906
2022-01-25,3769.5,3809.4,3722.2,3769.9,2094835
2022-01-27,3731.0,3733.4,3625.1,3649.25,3887598
2022-01-28,3646.0,3729.8,3646.0,3690.05,1863034
2022-01-31,3749.0,3758.0,3721.4,3736.25,1708467
2022-02-01,3770.0,3808.0,3736.4,3800.65,1067316
2022-02-02,3827.9,3864.0,3800.65,3856.2,1158079
2022-02-03,3851.0,3882.5,3816.05,3824.6,1242614
2022-02-04,3815.3,3824.7,3769.0,3814.9,1415833
2022-02-07,3791.0,3831.8,3756.15,3779.0,1160277
2022-02-08,3791.55,3799.7,3721.0,3743.45,2092329
2022-02-09,3750.0,3777.95,3746.1,3760.55,1190875
2022-02-10,3789.8,3789.8,3758.0,3770.35,1512559
2022-02-11,3752.5,3752.5,3690.0,3694.95,2684979
2022-02-14,3724.0,3793.25,3710.0,3733.75,3157466
2022-02-15,3786.0,3835.0,3748.0,3817.8,2283223
2022-02-16,3844.0,3854.1,3806.0,3813.1,1989270
2022-02-17,3825.0,3835.0,3779.0,3784.2,2140343
2022-02-18,3769.0,3815.95,3757.6,3793.9,2727483
2022-02-21,3810.0,3827.8,3705.55,3719.4,4843446
2022-02-22,3650.0,3667.9,3570.0,3586.4,3214082
2022-02-23,3611.0,3622.9,3555.65,3563.8,1476108
2022-02-24,3474.0,3483.85,3391.1,3401.65,3127576
2022-02-25,3468.0,3530.0,3462.0,3520.75,1286087
2022-02-28,3490.0,3563.75,3455.9,3554.2,1957822
2022-03-02,3552.5,3571.95,3506.0,3546.15,1608352
2022-03-03,3562.85,3578.6,3530.1,3544.4,1095452
2022-03-04,3501.5,3561.2,3487.05,3524.35,1412782
2022-03-07,3450.0,3548.0,3431.55,3484.9,1842815
2022-03-08,3460.0,3609.0,3460.0,3599.95,1897296
2022-03-09,3605.0,3654.0,3597.05,3632.6,1493364
2022-03-10,3684.0,3684.0,3615.0,3620.95,1143533
2022-03-11,3603.25,3639.85,3592.85,3599.15,997926
2022-03-14,3580.0,3648.35,3580.0,3643.0,947609
2022-03-15,3659.0,3659.0,3585.4,3593.9,2937815
2022-03-16,3640.5,3668.0,3616.25,3655.9,2374997
2022-03-17,3696.6,3710.0,3660.3,3672.75,2281677
2022-03-21,3696.0,3713.95,3615.0,3626.7,1443014
2022-03-22,3640.0,3711.0,3625.0,3700.95,1931906
2022-03-23,3708.0,3729.8,3690.0,3712.4,803477
2022-03-24,3700.0,3758.2,3695.0,3749.85,1248970
2022-03-25,3759.9,3779.5,3672.0,3707.45,951033
2022-03-28,3695.0,3713.0,3661.2,3707.7,878863
2022-03-29,3694.75,3722.0,3691.0,3705.35,1876469
2022-03-30,3738.0,3738.0,3706.2,3731.55,1071594
2022-03-31,3740.0,3754.65,3720.2,3739.95,1597155
2022-04-01,3748.0,3763.0,3728.05,3758.75,897433
2022-04-04,3762.0,3780.0,3737.1,3770.35,919895
2022-04-05,3772.0,3835.6,3772.0,3814.8,1228409
2022-04-06,3809.3,3809.3,3731.15,3755.35,1245604
2022-04-07,3745.5,3745.5,3679.0,3684.15,1814089
2022-04-08,3690.0,3705.0,3642.5,3685.65,1503584
2022-04-11,3690.0,3712.35,3656.1,3696.4,1175930
2022-04-12,3683.0,3739.0,3648.35,3691.1,1662462
2022-04-13,3707.0,3709.85,3655.55,3661.95,871209
2022-04-18,3610.0,3610.0,3522.5,3528.05,2676562
2022-04-19,3550.0,3563.55,3439.15,3471.9,2190202
2022-04-20,3500.0,3569.15,3480.0,3556.8,1703183
2022-04-21,3580.0,3644.0,3567.4,3628.65,1468817
2022-04-22,3581.1,3617.0,3571.5,3612.55,992489
2022-04-25,3558.0,3584.0,3533.1,3548.2,1249532
2022-04-26,3575.15,3587.9,3518.15,3546.3,1223001
2022-04-27,3546.0,3568.45,3506.3,3561.2,1068875
2022-04-28,3588.0,3604.4,3538.05,3584.3,1117294
2022-04-29,3597.0,3623.25,3536.85,3546.7,1349216
2022-05-02,3519.9,3547.95,3492.75,3542.4,837858
2022-05-04,3538.5,3545.45,3465.3,3479.75,1533599
2022-05-05,3512.1,3533.0,3485.35,3513.4,994905
2022-05-06,3459.0,3474.5,3424.5,3432.6,1157843
2022-05-09,3398.0,3456.0,3346.85,3445.1,1520203
2022-05-10,3434.0,3464.8,3422.0,3438.75,1116707
2022-05-11,3435.0,3448.45,3382.15,3412.0,1066170
2022-05-12,3378.0,3449.7,3350.1,3408.65,1630791
2022-05-13,3435.0,3439.9,3382.15,3414.9,1326058
2022-05-16,3415.0,3430.0,3366.6,3376.8,698049
2022-05-17,3370.0,3467.0,3350.4,3451.6,1022602
2022-05-18,3465.0,3495.0,3443.05,3448.8,1166592
2022-05-19,3397.0,3405.0,3230.0,3261.95,2952123
2022-05-20,3310.0,3313.9,3270.05,3293.0,1971441
2022-05-23,3304.8,3338.9,3267.0,3321.75,1387824
2022-05-24,3315.15,3324.85,3275.6,3288.0,1040626
2022-05-25,3292.85,3292.85,3154.05,3167.65,2233846
2022-05-26,3191.0,3241.5,3180.55,3226.95,1819586
2022-05-27,3253.2,3278.9,3229.2,3261.3,2076287
2022-05-30,3297.0,3386.6,3286.35,3375.25,1253589
2022-05-31,3354.15,3383.4,3325.0,3364.35,3642745
2022-06-01,3388.0,3388.0,3340.05,3355.2,989283
2022-06-02,3355.0,3432.0,3346.3,3423.0,1563997
2022-06-03,3459.4,3477.3,3431.2,3440.15,1116753
2022-06-06,3418.0,3453.0,3377.15,3430.95,538450
2022-06-07,3401.05,3418.85,3356.0,3362.7,1498669
2022-06-08,3380.15,3413.95,3346.5,3404.15,1330224
2022-06-09,3385.0,3437.0,3353.1,3427.1,696532
2022-06-10,3382.0,3393.0,3352.0,3359.9,993710
2022-06-13,3290.0,3293.0,3192.45,3219.6,2138257
2022-06-14,3190.0,3238.9,3174.7,3210.55,1741127
2022-06-15,3218.5,3234.0,3201.0,3206.3,825277
2022-06-16,3240.0,3244.85,3133.05,3142.0,1207357
2022-06-17,3092.0,3118.75,3023.85,3088.9,2845988
2022-06-20,3094.0,3138.75,3069.0,3112.4,640878
2022-06-21,3130.0,3237.75,3125.4,3211.95,1747330
2022-06-22,3199.9,3250.55,3183.0,3222.95,2075091
2022-06-23,3222.95,3318.0,3222.95,3308.8,2472506
2022-06-24,3339.0,3345.0,3277.5,3293.1,1204459
2022-06-27,3350.0,3362.9,3306.5,3314.7,1223301
2022-06-28,3307.0,3330.0,3272.6,3318.15,763205
2022-06-29,3271.0,3333.0,3271.0,3290.5,1270605
2022-06-30,3272.0,3310.9,3255.0,3267.1,1691349
2022-07-01,3260.0,3333.0,3252.05,3315.1,940958
2022-07-04,3312.0,3317.95,3225.05,3235.05,1700576
2022-07-05,3255.0,3272.0,3206.95,3216.3,1260668
2022-07-06,3218.5,3268.5,3202.25,3260.75,1290203
2022-07-07,3271.0,3319.4,3265.05,3287.85,1059067
2022-07-08,3300.0,3305.0,3250.0,3265.45,1169844
2022-07-11,3206.15,3225.0,3106.0,3113.8,3636712
2022-07-12,3114.9,3136.2,3080.25,3084.7,2079781
2022-07-13,3104.0,3110.0,3035.0,3038.75,2508061
